Date,Close,p_up_next_5d,signal
2025-09-15,2800.0,0.5846426071477242,BUY
2025-09-16,2810.0,0.5250555793347369,HOLD
2025-09-17,2796.0,0.5415776954487107,HOLD
2025-09-18,2772.0,0.5830282356039684,BUY
2025-09-21,2720.0,0.5970228960058706,BUY
2025-09-22,2704.0,0.5647067433249656,BUY
2025-09-23,2680.0,0.5989153062424808,BUY
2025-09-24,2644.0,0.6235056350923404,BUY
2025-09-25,2740.0,0.5089197117253512,HOLD
2025-09-28,2760.0,0.4522720194749017,HOLD
2025-09-29,2698.0,0.52625299412508,HOLD
2025-09-30,2750.0,0.42841209129662133,HOLD
2025-10-01,2774.0,0.4296633000144254,HOLD
2025-10-02,2770.0,0.4480454652470083,HOLD
2025-10-05,2754.0,0.49285082418363607,HOLD
2025-10-06,2780.0,0.42739956187698086,HOLD
2025-10-07,2764.0,0.5086599820950124,HOLD
2025-10-08,2754.0,0.5005144991985945,HOLD
2025-10-09,2770.0,0.5139908283047102,HOLD
2025-10-12,2794.0,0.5007044309446697,HOLD
2025-10-13,2746.0,0.5918545670456263,BUY
2025-10-14,2750.0,0.5675398268398875,BUY
2025-10-15,2758.0,0.5813711006397235,BUY
2025-10-16,2744.0,0.6081689021035315,BUY
2025-10-19,2770.0,0.5242321367865272,HOLD
2025-10-20,2738.0,0.5991852652824973,BUY
2025-10-21,2756.0,0.546832151125811,HOLD
2025-10-26,2816.0,0.47942803367091025,HOLD
2025-10-27,2938.0,0.5273294073555841,HOLD
2025-10-28,3014.0,0.4551214688868421,HOLD
2025-10-29,2996.0,0.5043422687584936,HOLD
2025-10-30,2960.0,0.5055352738808869,HOLD
2025-11-02,2914.0,0.4682402978677855,HOLD
2025-11-03,2920.0,0.5110015366892449,HOLD
2025-11-04,2890.0,0.49024060255189333,HOLD
2025-11-05,2904.0,0.46192874100520337,HOLD
2025-11-06,2920.0,0.4440882819400415,HOLD
2025-11-09,2970.0,0.4368404411701198,HOLD
